lichess_id,ply,result,crisc_player
hsS7xLx4,54,0-1,Black
iDA4zq6E,83,0-1,White
jUnPmDiz,95,1-0,White
gY2dqkCb,42,0-1,Black
gY2dqkCb,46,0-1,Black
8EkRMVBt,121,0-1,White
ipp2mtfk,80,0-1,Black
u5Fw1t9w,73,0-1,White
FrWf2xbm,73,1-0,White
40SRCtix,79,0-1,White
J4rz5RTZ,73,1-0,White
rI2JlZNv,91,1-0,White
HtUsrS0v,67,1-0,White
fadBxQnk,41,1-0,White
bnrmfpkn,37,1-0,White
MWEpkJQO,50,0-1,Black
j5J6FirG,56,1-0,Black
4sCmI0N2,58,0-1,Black
XuCQEFmI,130,1-0,Black
UP5IoBC1,101,1-0,White
czYG4N3h,52,0-1,Black
1jpPM0e6,45,1-0,White
s3ya5W7g,91,1-0,White
T0DV1eCV,86,1-0,Black
npSBNtoH,68,0-1,Black
pISjhQZf,72,0-1,Black
Yyji2h0i,55,1-0,White
fSAsjlAa,34,0-1,Black
yI8z30QC,45,0-1,White
yI8z30QC,50,0-1,Black
vDMHKkQz,85,1-0,White
u7VhGW0o,64,1-0,Black
jvbNy0Fx,91,1-0,White
Q8tyRBV2,77,0-1,White
vhEEev3f,137,1-0,White
EZSyXnef,70,1-0,Black
Lg7pZ0Dw,65,1-0,White
Lg7pZ0Dw,67,1-0,White
3EVkYWoi,49,1-0,White
IrvOvxQ8,79,1-0,White
lVTYTh0h,74,0-1,Black
jpUimfUI,56,1-0,Black
MKYeoFrn,82,0-1,Black
TOq88hyq,83,1-0,White
yuh3Wl2R,44,0-1,Black
GLYDEADA,67,0-1,White
RkoCLILG,55,0-1,White
bQMo5P6c,85,1-0,White
1gL1781t,91,0-1,White
Njy6OdmA,77,1-0,White
NAraIQjW,69,1-0,White
KB0cyDUO,76,0-1,Black
gF1huK6u,59,0-1,White
ZPl8rsCb,62,0-1,Black
Qg8KTtZZ,75,1-0,White
OMJD9iAH,104,1-0,Black
EVKiczNp,63,1-0,White
u62KeozE,69,0-1,White
52JnmDWW,101,1-0,White
PLOY9iPw,71,1-0,White
cvPG71C9,55,1-0,White
cvPG71C9,63,1-0,White
iSoaykHJ,73,0-1,White
GzwstZrj,87,1-0,White
3Op9uYqF,73,1-0,White
b3gtP0fn,78,0-1,Black
ABINMf3p,86,1-0,Black
ABINMf3p,105,1-0,White
4yqoWUAg,67,1-0,White
BtAVuWcT,36,0-1,Black
zspN1pCX,65,0-1,White
eodsvrXT,50,1-0,Black
OfOylU1Q,95,0-1,White
UON68SLN,49,1-0,White
rlb976WV,51,0-1,White
qziAlDSw,41,1-0,White
OScwKddw,77,1-0,White
OScwKddw,85,1-0,White
NmbJEzGp,109,1-0,White
Io4ApoID,85,0-1,White
MKwjTBUz,107,1-0,White
iXEgz47V,125,1-0,White
W93rXale,76,1-0,Black
cbhNxFI4,62,1-0,Black
TwV5WO1R,34,0-1,Black
H4Ozjd1F,46,0-1,Black
Uj913vIr,81,1-0,White
vx0OlNCI,48,0-1,Black
5u2RxR13,38,0-1,Black
66twMyyf,106,0-1,Black
2eL8YKsV,70,0-1,Black
492tqI4C,71,1-0,White
pA3kMaU8,97,1-0,White
WgvVBQzZ,65,0-1,White
f7Z7Z3K2,63,0-1,White
K2REUBqJ,89,0-1,White
Ij5UzHfe,107,1-0,White
pPGc1CoR,83,0-1,White
D1eEZvxW,83,1-0,White
4Hwq0JrO,79,1-0,White
K4uhXzPy,51,1-0,White
FlNMXYau,66,1-0,Black
vcNWP39w,74,0-1,Black
2PAA6RwI,59,0-1,White
e9Y7I4vO,81,0-1,White
cLHv2KMT,91,1-0,White
GIVJDy9M,59,0-1,White
R2tlzP3k,68,0-1,Black
7BxlOs9r,93,0-1,White
uOO8Dsxb,47,1-0,White
H2SnRUJP,70,0-1,Black
HSEvy5ZQ,111,1-0,White
ky2wNeKh,76,1-0,Black
ftjL0eNC,30,0-1,Black
SJqpDB3g,35,1-0,White
FazUOEcb,79,1-0,White
y56s1nqo,62,0-1,Black
M4byvzGG,65,0-1,White
S88oyKQg,96,0-1,Black
ztNgzSgs,117,1/2-1/2,White
axDzrP5U,74,1-0,Black
ULKrZKCa,65,1-0,White
vAcZbrFz,66,1-0,Black
LMVH3wTS,79,0-1,White
fATRtCh8,79,1-0,White
0lfN2Cji,59,1-0,White
oIszqGWy,78,0-1,Black
v2lc3VLs,30,0-1,Black
nMEsPwZU,86,0-1,Black
TnUx5HD5,85,0-1,White
WEMN5rgi,69,0-1,White
C0gwkzBs,80,0-1,Black
HSE5di31,91,1/2-1/2,White
2bDoDtzr,57,1-0,White
YxqDVhn7,63,1-0,White
IgaUywXP,62,0-1,Black
SKRSzRP1,140,1-0,Black
ldnlJw8G,55,0-1,White
