lichess_id,ply,result,player,time_scramble_bracket,player_elo
ivxag6DB,116,0-1,Black,<=5s vs <=5s,1933
CPs3kASr,75,1-0,White,<=5s vs 15-20s,2311
4LC8qfYP,84,0-1,Black,<=5s vs <=5s,2083
UzTS59nW,78,0-1,Black,<=5s vs <=5s,1125
dDlVHRfO,74,0-1,Black,<=5s vs 10-15s,1708
Tc4ExKJl,84,0-1,Black,<=5s vs 15-20s,2340
JnpXfkOX,63,1-0,White,<=5s vs 10-15s,1808
Gz8CNjZI,71,1-0,White,<=5s vs 5-10s,1899
ZYe1hpKp,61,1-0,White,<=5s vs 10-15s,1194
J6opyj4M,47,1-0,White,<=5s vs 5-10s,1296
uCDI9SuW,88,0-1,Black,<=5s vs 5-10s,2293
3LtoVcEi,67,1-0,White,<=5s vs 5-10s,1757
oP5RNJ0y,123,1/2-1/2,White,<=5s vs 5-10s,2395
aTfAj6o2,102,1/2-1/2,Black,<=5s vs <=5s,2684
UQYAqODP,55,1-0,White,<=5s vs 10-15s,1701
sSddhaAm,75,1-0,White,<=5s vs 5-10s,2599
bXHBBP0k,64,0-1,Black,<=5s vs 5-10s,1365
BPTK1AWh,86,0-1,Black,<=5s vs 15-20s,2481
ZBhnHPeA,74,0-1,Black,<=5s vs 5-10s,1874
zFYt0WlI,53,1-0,White,<=5s vs 10-15s,2503
c00Blh0t,69,1-0,White,<=5s vs 15-20s,1810
KEoAbK0c,64,0-1,Black,<=5s vs 15-20s,2491
HnGumds3,66,0-1,Black,<=5s vs 10-15s,1861
Ys90Pain,141,1-0,White,<=5s vs 15-20s,2425
reGpImoe,46,0-1,Black,<=5s vs 10-15s,1533
1D3BorlH,75,1-0,White,<=5s vs 5-10s,2046
Uwaj0h7N,90,1-0,Black,<=5s vs 5-10s,2464
l9BAZiqc,52,0-1,Black,<=5s vs 15-20s,2023
KtqIWz4U,57,1-0,White,<=5s vs 5-10s,1578
7RcdHGLs,67,1-0,White,<=5s vs 5-10s,1284
DkU7rHIC,85,1-0,White,<=5s vs 10-15s,1851
UZdKqxfx,69,0-1,White,<=5s vs 15-20s,2267
N36ofLPe,57,1-0,White,<=5s vs 5-10s,2206
WYWgS5Fr,91,1-0,White,<=5s vs 10-15s,2286
IxRP3JSQ,121,0-1,White,<=5s vs 5-10s,2729
MfY8CgQS,65,0-1,White,<=5s vs 5-10s,2217
V8ZGCdmY,61,1-0,White,<=5s vs 10-15s,2474
8RtBYRCw,55,0-1,White,<=5s vs 10-15s,1666
KhOTefSN,67,0-1,White,<=5s vs <=5s,1453
2KX99GV2,64,0-1,Black,<=5s vs 10-15s,1519
c7WQmlly,64,0-1,Black,<=5s vs 5-10s,2308
